Sample_names	Sampl_code	Genotypebytreatment	Group	Treatment	Genotype	SampleType
Watered-Col-3_1	LM6	Watered-Col-3	A_W-Col3	Watered 	Wt	Rhizosphere
Watered-Col-3_2	LM7	Watered-Col-3	A_W-Col3	Watered 	Wt	Rhizosphere
Watered-Col-3_3	LM8	Watered-Col-3	A_W-Col3	Watered 	Wt	Rhizosphere
Watered-Col-3_4	LM9	Watered-Col-3	A_W-Col3	Watered 	Wt	Rhizosphere
Watered-Col-3_5	LM10	Watered-Col-3	A_W-Col3	Watered 	Wt	Rhizosphere
Watered-mmp5_1	LM11	Watered-mmp5	C_W-mmp5	Watered 	KO	Rhizosphere
Watered-mmp5_2	LM13	Watered-mmp5	C_W-mmp5	Watered 	KO	Rhizosphere
Watered-mmp5_3	LM14	Watered-mmp5	C_W-mmp5	Watered 	KO	Rhizosphere
Watered-mmp5_4	LM15	Watered-mmp5	C_W-mmp5	Watered 	KO	Rhizosphere
Watered-mmp5_5	LM16	Watered-mmp5	C_W-mmp5	Watered 	KO	Rhizosphere
W_35S-mmp5_oxp_1	LM17	W_35S-mmp5_oxp	E_W-mmp5OX	Watered 	Oxp	Rhizosphere
W_35S-mmp5_oxp_2	LM18	W_35S-mmp5_oxp	E_W-mmp5OX	Watered 	Oxp	Rhizosphere
W_35S-mmp5_oxp_3	LM19	W_35S-mmp5_oxp	E_W-mmp5OX	Watered 	Oxp	Rhizosphere
W_35S-mmp5_oxp_4	LM20	W_35S-mmp5_oxp	E_W-mmp5OX	Watered 	Oxp	Rhizosphere
W_35S-mmp5_oxp_5	LM21	W_35S-mmp5_oxp	E_W-mmp5OX	Watered 	Oxp	Rhizosphere
D-Col-0_1	LM22	D-Col-3	B_D-Col3	Drought	Wt	Rhizosphere
D-Col-0_2	LM23	D-Col-3	B_D-Col3	Drought	Wt	Rhizosphere
D-Col-0_3	LM24	D-Col-3	B_D-Col3	Drought	Wt	Rhizosphere
D-Col-0_4	LM25	D-Col-3	B_D-Col3	Drought	Wt	Rhizosphere
D-Col-0_5	LM26	D-Col-3	B_D-Col3	Drought	Wt	Rhizosphere
D-mmp5_1	LM27	D-mmp5	D_D-mmp5	Drought	KO	Rhizosphere
D-mmp5_2	LM28	D-mmp5	D_D-mmp5	Drought	KO	Rhizosphere
D-mmp5_3	LM29	D-mmp5	D_D-mmp5	Drought	KO	Rhizosphere
D-mmp5_4	LM30	D-mmp5	D_D-mmp5	Drought	KO	Rhizosphere
D-mmp5_5	LM31	D-mmp5	D_D-mmp5	Drought	KO	Rhizosphere
D5S-mmp5_oxp_1	LM32	D5S-mmp5_oxp	F_D-mmp5OX	Drought	Oxp	Rhizosphere
D5S-mmp5_oxp_2	LM33	D5S-mmp5_oxp	F_D-mmp5OX	Drought	Oxp	Rhizosphere
D5S-mmp5_oxp_3	LM34	D5S-mmp5_oxp	F_D-mmp5OX	Drought	Oxp	Rhizosphere
D5S-mmp5_oxp_4	LM35	D5S-mmp5_oxp	F_D-mmp5OX	Drought	Oxp	Rhizosphere
D5S-mmp5_oxp_5	LM36	D5S-mmp5_oxp	F_D-mmp5OX	Drought	Oxp	Rhizosphere
